,text,sentiment
0,"['death', 'summer', 'arctic', 'ice', 'earth', 'cooler', 'year', 'away', 'sooner', 'trigger', 'world', 'wide', 'climat', 'planet', 'break', 'supercharg', 'global', 'warm', 'leav', 'much', 'planet', 'hostil', 'life', 'abrupt', 'climat', 'chang', 'onli', 'matter', 'timeend', 'fossil', 'fuel']",1
1,"['elsevi', 'editorsinchief', 'pleas', 'share', 'first', 'volum', 'energi', 'climat', 'chang', 'avail', 'sciencedirect', 'get', 'free', 'access', 'june']",1
2,"['better', 'climat', 'chang', 'educ', 'improv', 'sustain', 'got', 'right', 'environment', 'justic', 'global', 'warm', 'climat', 'chang', 'environ', 'hometopstori']",1
3,"['climat', 'chang', 'link', 'fix', 'climat', 'chang', 'climatechang', 'co', 'global', 'warm']",1
4,"['climat', 'chang', 'th', 'hour', 'earth', 'climatechang', 'global', 'warm', 'globalwarm']",0
5,"['year', 'scientist', 'govern', 'discuss', 'debat', 'effect', 'climat', 'chang', 'global', 'warm', 'veri', 'littl', 'ha', 'donehav', 'look', 'climat', 'chang', 'centuryenviron', 'climat', 'chang']",1
6,"['grow', 'impact', 'climat', 'chang', 'alreadi', 'push', 'million', 'peopl', 'migrat', 'within', 'south', 'asian', 'countri', 'could', 'tripl', 'global', 'warm', 'continu', 'current', 'path', 'research', 'warn', 'reuter']",2
7,"['desert', 'forest', 'turn', 'desert', 'forest', 'climat', 'chang', 'co', 'global', 'warm']",1
8,"['feder', 'reserv', 'tuesday', 'took', 'signific', 'step', 'forward', 'climat', 'chang', 'announc', 'join', 'group', 'central', 'bank', 'focus', 'root', 'risk', 'warm', 'pose', 'global', 'financi', 'system', 'via', 'grist']",1
9,"['cravecr', 'johnjakest', 'ordinari', 'men', 'requir', 'read', 'human', 'posit', 'powerthalidomidecovid', 'amp', 'co', 'lie', 'built', 'inconveni', 'truthsbabi', 'boomer', 'bust', 'due', 'season', 'flu', 'amp', 'old', 'agemilankovitch', 'cycl', 'caus', 'climat', 'changeobliqu', 'caus', 'global', 'warm']",1
10,"['thalidomidecovid', 'amp', 'co', 'lie', 'built', 'inconveni', 'truthsbabi', 'boomer', 'bust', 'due', 'season', 'flu', 'amp', 'old', 'agemilankovitch', 'cycl', 'caus', 'climat', 'changeobliqu', 'caus', 'global', 'warmingprecess', 'caus', 'global', 'tsunami', 'vernal', 'equinoxeswwgwga', 'human']",1
11,"['global', 'warm', 'like', 'caus', 'global', 'atmospher', 'circul', 'chang', 'progress', 'reveto', 'situat', 'similar', 'year', 'agoclimatechang', 'climat', 'climateact']",1
12,"['planetwarm', 'carbon', 'dioxid', 'emiss', 'build', 'construct', 'jeopardis', 'global', 'goal', 'keep', 'devast', 'climat', 'chang', 'bay', 'reuter']",1
13,"['warm', 'ocean', 'contribut', 'storm', 'could', 'drop', 'feet', 'snow', 'town', 'japan', 'thi', 'week', 'thi', 'isnt', 'kind', 'global', 'weird', 'defin', 'chang', 'climat', 'system', 'redefin', 'live', 'decad', 'come', 'climateact', 'climat']",1
14,"['climat', 'chang', 'new', 'link', 'fix', 'climat', 'chang', 'climatechang', 'co', 'global', 'warm', 'cut', 'emiss']",1
15,"['globeandmail', 'wonder', 'whyth', 'media', 'govt', 'lie', 'usth', 'milankovitch', 'cycl', 'caus', 'climat', 'chang', 'global', 'warm', 'global', 'tsunami', 'vernal', 'equinoxescovid', 'babi', 'boomer', 'bust', 'due', 'season', 'flu', 'old', 'age']",1
16,"['global', 'co', 'emiss', 'fossil', 'fuel', 'industri', 'expect', 'drop', 'wont', 'slow', 'pace', 'global', 'warm', 'serv', 'uniqu', 'opportun', 'secur', 'longterm', 'emiss', 'cut', 'follow', 'econom', 'recoveri', 'align', 'tackl', 'climat', 'chang']",1
17,"['un', 'climat', 'scienc', 'reposaid', 'way', 'world', 'manag', 'land', 'food', 'produc', 'consum', 'chang', 'curb', 'global', 'warm', 'food', 'secur', 'health', 'biodivers', 'would', 'riskclimatechang', 'climat']",1
18,"['oil', 'major', 'exxon', 'mobil', 'corp', 'said', 'monday', 'plan', 'reduc', 'greenhous', 'ga', 'emiss', 'next', 'five', 'year', 'investor', 'climat', 'chang', 'campaign', 'ratchet', 'pressur', 'action', 'limit', 'global', 'warm', 'climat']",1
19,"['emerg', 'call', 'climat', 'chang', 'guterr', 'unit', 'nation', 'secretarygener', 'antonio', 'guterr', 'hi', 'speech', 'climat', 'chang', 'summit', 'world', 'leader', 'take', 'action', 'avoid', 'global', 'warm', 'said', 'declar', 'climat', 'emerg']",1
20,"['prefer', 'limit', 'global', 'warm', 'per', 'pari', 'agreement', 'five', 'year', 'old', 'thi', 'week', 'wa', 'chosen', 'would', 'significantli', 'reduc', 'risk', 'impact', 'climat', 'chang', 'fightforpoint', 'fridaysforfutur', 'digitalstrik', 'climatestrikeonlin', 'klimat', 'climat']",1
21,"['thi', 'behavior', 'becaus', 'human', 'natur', 'global', 'warm', 'climat', 'chang', 'rain', 'come', 'today', 'even', 'night', 'till', 'th', 'decemb', 'night', 'mumbai', 'unseason', 'rain']",1
22,"['veri', 'alarm', 'world', 'nov', 'montha', 'winter', 'month', 'record', 'warm', 'climat', 'month', 'warm', 'condit', 'persist', 'larg', 'swath', 'planet', 'climat', 'changeglob', 'warm', 'chang', 'food', 'fm', 'tea', 'ricelif', 'stylebodi', 'shapebehaviour', 'next', 'yrsour', 'next', 'gener']",1
